block,config,seed,n_train_steps,condition,fit_before,fit_after,delta,v_mean,cross_e_frac_end,wall_sec
long_training,structural_n50000,1,50000,structural,-0.0002678088203538209,-0.00017680716700851917,9.100165334530175e-05,0.6335404515266418,0.388427734375,4.424516466038767
long_training,structural_n50000,2,50000,structural,-0.0002715807349886745,-0.0001751311356201768,9.644959936849773e-05,0.6222130656242371,0.3848876953125,4.483798399975058
long_training,structural_n50000,3,50000,structural,-0.0002791685692500323,-0.00018288136925548315,9.628719999454916e-05,0.6578977704048157,0.38623046875,4.4157160529866815
long_training,structural_n50000,4,50000,structural,-0.00026649280334822834,-0.00017155735986307263,9.49354434851557e-05,0.6081992387771606,0.389404296875,4.4524474370409735
long_training,stdp_only_n50000,0,50000,stdp_only,-0.0002585904148872942,-0.00017162626318167895,8.696415170561522e-05,0.6001209020614624,0.4088134765625,2.39813426398905
long_training,stdp_only_n50000,1,50000,stdp_only,-0.0002678088203538209,-0.00017775193555280566,9.005688480101526e-05,0.6165717244148254,0.401123046875,2.376794398005586
long_training,stdp_only_n50000,2,50000,stdp_only,-0.0002715807349886745,-0.0001692664372967556,0.00010231429769191891,0.5964101552963257,0.3956298828125,2.4025707610417157
long_training,stdp_only_n50000,3,50000,stdp_only,-0.0002791685692500323,-0.00018030610226560384,9.886246698442847e-05,0.645764946937561,0.396728515625,2.370299330970738
long_training,stdp_only_n50000,4,50000,stdp_only,-0.00026649280334822834,-0.00017446864512749016,9.202415822073817e-05,0.5831748843193054,0.4075927734375,2.382540778024122
long_training,structural_n100000,0,100000,structural,-0.0002585904148872942,-0.00017290556570515037,8.568484918214381e-05,0.41399192810058594,0.36181640625,6.577627270016819
long_training,structural_n100000,1,100000,structural,-0.0002678088203538209,-0.00017930135072674602,8.85074696270749e-05,0.3861443102359772,0.33203125,6.207266055978835
long_training,structural_n100000,2,100000,structural,-0.0002715807349886745,-0.00017448968719691038,9.709104779176414e-05,0.3986910581588745,0.3477783203125,6.163994985981844
long_training,structural_n100000,3,100000,structural,-0.0002791685692500323,-0.00017717426817398518,0.00010199430107604712,0.3989323377609253,0.3544921875,6.187972337997053
long_training,structural_n100000,4,100000,structural,-0.00026649280334822834,-0.00017969631880987436,8.679648453835398e-05,0.4066917300224304,0.3492431640625,6.241405267035589
long_training,stdp_only_n100000,0,100000,stdp_only,-0.0002585904148872942,-0.0001688480406301096,8.974237425718457e-05,0.29691433906555176,0.4088134765625,3.395898190967273
long_training,stdp_only_n100000,1,100000,stdp_only,-0.0002678088203538209,-0.0001740291918395087,9.377962851431221e-05,0.3119259774684906,0.401123046875,3.4273139509605244
long_training,stdp_only_n100000,2,100000,stdp_only,-0.0002715807349886745,-0.00017209183715749532,9.94888978311792e-05,0.3466378450393677,0.3956298828125,3.477288121008314
long_training,stdp_only_n100000,3,100000,stdp_only,-0.0002791685692500323,-0.00017114625370595604,0.00010802231554407626,0.3120664060115814,0.396728515625,3.4756216959794983
long_training,stdp_only_n100000,4,100000,stdp_only,-0.00026649280334822834,-0.00017468990699853748,9.180289634969085e-05,0.2937590777873993,0.4075927734375,3.435699433030095
long_training,structural_n200000,0,200000,structural,-0.0002585904148872942,-0.0002003345434786752,5.8255871408618987e-05,0.3555205464363098,0.334228515625,10.133500163967256
long_training,structural_n200000,1,200000,structural,-0.0002678088203538209,-0.00019323961168993264,7.456920866388828e-05,0.36253347992897034,0.3712158203125,9.658788116008509
long_training,structural_n200000,2,200000,structural,-0.0002715807349886745,-0.0001845886727096513,8.699206227902323e-05,0.41013091802597046,0.371826171875,9.769972807029262
