block,config,seed,acq_mode,pre_id_source,acq_initial_v,release_threshold,release_duration,fit_before,fit_after,delta,v_mean,v_std,active_frac_end,cross_e_frac_end,active_frac_min,valence_mean,wall_sec
step17_factorial,periodic_uniform_iv0.2_thr0.20_dur1000,4,periodic,uniform,0.2,0.2,1000,-0.00026649280334822834,-0.00022580452787224203,4.06882754759863e-05,0.838519811630249,0.3492550849914551,0.9976806640625,0.398681640625,0.984130859375,0.25247883796691895,4.442822808981873
step17_factorial,periodic_uniform_iv1.0_thr0.05_dur200,0,periodic,uniform,1.0,0.05,200,-0.0002585904148872942,-0.00022324288147501647,3.53475334122777e-05,0.8594918251037598,0.3346084952354431,1.0,0.406982421875,0.9979248046875,0.2551061809062958,4.440119523031171
step17_factorial,periodic_uniform_iv1.0_thr0.05_dur200,1,periodic,uniform,1.0,0.05,200,-0.0002678088203538209,-0.000230877980357036,3.6930839996784925e-05,0.8665099143981934,0.3361681401729584,1.0,0.396484375,0.9976806640625,0.2485930621623993,5.381359238992445
step17_factorial,periodic_uniform_iv1.0_thr0.05_dur200,2,periodic,uniform,1.0,0.05,200,-0.0002715807349886745,-0.00022973775048740208,4.184298450127244e-05,0.8599867820739746,0.337234228849411,1.0,0.3912353515625,0.997802734375,0.2508965730667114,4.435760204971302
step17_factorial,periodic_uniform_iv1.0_thr0.05_dur200,3,periodic,uniform,1.0,0.05,200,-0.0002791685692500323,-0.00023745630460325629,4.171226464677602e-05,0.8684782981872559,0.32731762528419495,1.0,0.394287109375,0.99853515625,0.2370528280735016,4.421233502973337
step17_factorial,periodic_uniform_iv1.0_thr0.05_dur200,4,periodic,uniform,1.0,0.05,200,-0.00026649280334822834,-0.0002236220898339525,4.287071351427585e-05,0.8598445653915405,0.3358341157436371,1.0,0.404541015625,0.9979248046875,0.25225478410720825,4.426977861032356
step17_factorial,periodic_uniform_iv1.0_thr0.05_dur1000,0,periodic,uniform,1.0,0.05,1000,-0.0002585904148872942,-0.00022124893439467996,3.734148049261421e-05,0.8576357364654541,0.3375081717967987,1.0,0.405517578125,0.997802734375,0.2559158205986023,4.41918563505169
step17_factorial,periodic_uniform_iv1.0_thr0.05_dur1000,1,periodic,uniform,1.0,0.05,1000,-0.0002678088203538209,-0.00022500524937640876,4.2803570977412164e-05,0.8690993785858154,0.3326472342014313,1.0,0.3985595703125,0.9984130859375,0.24888236820697784,4.400694067007862
step17_factorial,periodic_uniform_iv1.0_thr0.05_dur1000,2,periodic,uniform,1.0,0.05,1000,-0.0002715807349886745,-0.0002267271775053814,4.4853557483293116e-05,0.8521202802658081,0.3393457233905792,1.0,0.3917236328125,0.9976806640625,0.25150150060653687,4.46812661801232
step17_factorial,periodic_uniform_iv1.0_thr0.05_dur1000,3,periodic,uniform,1.0,0.05,1000,-0.0002791685692500323,-0.00023818749468773603,4.098107456229627e-05,0.872807502746582,0.32627296447753906,1.0,0.394775390625,0.998779296875,0.23512540757656097,4.587742178991903
step17_factorial,periodic_uniform_iv1.0_thr0.05_dur1000,4,periodic,uniform,1.0,0.05,1000,-0.00026649280334822834,-0.00022066985548008233,4.5822947868146e-05,0.8562236428260803,0.33727172017097473,1.0,0.4027099609375,0.9974365234375,0.2521836459636688,4.457099760998972
step17_factorial,periodic_uniform_iv1.0_thr0.20_dur200,0,periodic,uniform,1.0,0.2,200,-0.0002585904148872942,-0.00022105062089394778,3.753979399334639e-05,0.8809913396835327,0.32089316844940186,1.0,0.40478515625,0.9959716796875,0.25356727838516235,4.419108059955761
step17_factorial,periodic_uniform_iv1.0_thr0.20_dur200,1,periodic,uniform,1.0,0.2,200,-0.0002678088203538209,-0.0002290922129759565,3.871660737786442e-05,0.8841210007667542,0.31496191024780273,0.9998779296875,0.395751953125,0.9964599609375,0.24764613807201385,4.53960041096434
step17_factorial,periodic_uniform_iv1.0_thr0.20_dur200,2,periodic,uniform,1.0,0.2,200,-0.0002715807349886745,-0.0002280178596265614,4.356287536211312e-05,0.877345621585846,0.31605973839759827,1.0,0.3912353515625,0.995361328125,0.24989953637123108,4.379851781995967
step17_factorial,periodic_uniform_iv1.0_thr0.20_dur200,3,periodic,uniform,1.0,0.2,200,-0.0002791685692500323,-0.0002398752112640068,3.929335798602551e-05,0.8855832815170288,0.3116454482078552,1.0,0.39501953125,0.996826171875,0.23468714952468872,4.45425384194823
step17_factorial,periodic_uniform_iv1.0_thr0.20_dur200,4,periodic,uniform,1.0,0.2,200,-0.00026649280334822834,-0.00022345200704876333,4.3040796299465e-05,0.877109169960022,0.3177458643913269,1.0,0.3995361328125,0.995849609375,0.25277644395828247,4.497194601979572
step17_factorial,periodic_uniform_iv1.0_thr0.20_dur1000,0,periodic,uniform,1.0,0.2,1000,-0.0002585904148872942,-0.00022465635265689343,3.393406223040074e-05,0.8743741512298584,0.31713709235191345,1.0,0.40234375,0.996337890625,0.2536888122558594,4.450389336969238
step17_factorial,periodic_uniform_iv1.0_thr0.20_dur1000,1,periodic,uniform,1.0,0.2,1000,-0.0002678088203538209,-0.00022491121490020305,4.289760545361787e-05,0.8887633085250854,0.3193031847476959,1.0,0.39404296875,0.9962158203125,0.25085198879241943,4.456638821982779
step17_factorial,periodic_uniform_iv1.0_thr0.20_dur1000,2,periodic,uniform,1.0,0.2,1000,-0.0002715807349886745,-0.0002316969766980037,3.988375829067081e-05,0.8752266764640808,0.3177616000175476,1.0,0.3885498046875,0.99560546875,0.24832887947559357,4.412980682973284
step17_factorial,periodic_uniform_iv1.0_thr0.20_dur1000,3,periodic,uniform,1.0,0.2,1000,-0.0002791685692500323,-0.00023885317204985768,4.031539720017463e-05,0.8865325450897217,0.31199410557746887,1.0,0.39453125,0.9971923828125,0.23528090119361877,4.385757856012788
step17_factorial,periodic_uniform_iv1.0_thr0.20_dur1000,4,periodic,uniform,1.0,0.2,1000,-0.00026649280334822834,-0.0002271011908305809,3.9391612517647445e-05,0.877379298210144,0.31915396451950073,1.0,0.4002685546875,0.9959716796875,0.2511129677295685,4.39872264204314
step17_factorial,periodic_uniform_iv1.8_thr0.05_dur200,0,periodic,uniform,1.8,0.05,200,-0.0002585904148872942,-0.0002217956935055554,3.679472138173878e-05,0.8663920164108276,0.3515464961528778,1.0,0.406494140625,0.998291015625,0.2557485103607178,4.433238959987648
step17_factorial,periodic_uniform_iv1.8_thr0.05_dur200,1,periodic,uniform,1.8,0.05,200,-0.0002678088203538209,-0.00022649348829872906,4.131533205509186e-05,0.8767746686935425,0.351044625043869,1.0,0.3974609375,0.997802734375,0.24926616251468658,4.561124227009714
step17_factorial,periodic_uniform_iv1.8_thr0.05_dur200,2,periodic,uniform,1.8,0.05,200,-0.0002715807349886745,-0.0002264463109895587,4.5134423999115825e-05,0.8655298948287964,0.3477645218372345,1.0,0.39453125,0.998779296875,0.24966809153556824,4.413693371054251
step17_factorial,periodic_uniform_iv1.8_thr0.05_dur200,3,periodic,uniform,1.8,0.05,200,-0.0002791685692500323,-0.0002391021407674998,4.00664284825325e-05,0.8759543895721436,0.343189537525177,1.0,0.39404296875,0.9986572265625,0.23590883612632751,4.954178052023053
step17_factorial,periodic_uniform_iv1.8_thr0.05_dur200,4,periodic,uniform,1.8,0.05,200,-0.00026649280334822834,-0.00022506115783471614,4.1431645513512194e-05,0.8742425441741943,0.35764068365097046,1.0,0.4039306640625,0.99755859375,0.2528396546840668,4.447015138983261
step17_factorial,periodic_uniform_iv1.8_thr0.05_dur1000,0,periodic,uniform,1.8,0.05,1000,-0.0002585904148872942,-0.00022001797333359718,3.857244155369699e-05,0.870991587638855,0.35153746604919434,1.0,0.407470703125,0.998046875,0.25643667578697205,4.678413891000673
