block,config,seed,plasticity_rate,init_v_mean,acq_mode,pre_id_source,fit_before,fit_after,delta,v_mean,active_frac_end,cross_e_frac_end,wall_sec
strong_op_confirm,strong_baseline_stdp_only,11,3.0,1.8,off,uniform,-0.00029603420989587903,-0.00019960140343755484,9.64328064583242e-05,1.2870676517486572,0.966552734375,0.4010009765625,6.6097709240275435
strong_op_confirm,strong_baseline_stdp_only,12,3.0,1.8,off,uniform,-0.0002997889241669327,-0.00019309812341816723,0.00010669080074876547,1.2683420181274414,0.9359130859375,0.39794921875,7.022271617024671
strong_op_confirm,strong_baseline_stdp_only,13,3.0,1.8,off,uniform,-0.0002978654229082167,-0.00018280965741723776,0.00011505576549097896,1.237830638885498,0.9339599609375,0.411865234375,6.930015848949552
strong_op_confirm,strong_baseline_stdp_only,14,3.0,1.8,off,uniform,-0.000295197096420452,-0.00019853496633004397,9.666213009040803e-05,1.335145115852356,0.9752197265625,0.4049072265625,6.341936771001201
strong_op_confirm,strong_baseline_stdp_only,15,3.0,1.8,off,uniform,-0.0003161644854117185,-0.00019336202240083367,0.00012280246301088482,1.2951912879943848,0.947998046875,0.3956298828125,7.372300365008414
strong_op_confirm,strong_baseline_stdp_only,16,3.0,1.8,off,uniform,-0.0003066509962081909,-0.00018416577950119972,0.0001224852167069912,1.2661463022232056,0.941162109375,0.40087890625,7.135627024981659
strong_op_confirm,strong_baseline_stdp_only,17,3.0,1.8,off,uniform,-0.00027259840862825513,-0.00018098567670676857,9.161273192148656e-05,1.194754719734192,0.8685302734375,0.4024658203125,6.46641404501861
strong_op_confirm,strong_baseline_stdp_only,18,3.0,1.8,off,uniform,-0.0002759233466349542,-0.00018707964045461267,8.884370618034154e-05,1.2270783185958862,0.8919677734375,0.400634765625,6.630907017039135
strong_op_confirm,strong_baseline_stdp_only,19,3.0,1.8,off,uniform,-0.0002937940589617938,-0.00018002092838287354,0.00011377313057892025,1.2376574277877808,0.89208984375,0.4013671875,6.307431911001913
strong_op_confirm,strong_stochastic_uniform,0,3.0,1.8,stochastic,uniform,-0.00029757060110569,-0.0001871292624855414,0.0001104413386201486,1.265954852104187,0.993896484375,0.3975830078125,17.821116267994512
strong_op_confirm,strong_stochastic_uniform,1,3.0,1.8,stochastic,uniform,-0.00029898606589995325,-0.00019968507695011795,9.93009889498353e-05,1.2990820407867432,0.9984130859375,0.3916015625,13.16244090400869
strong_op_confirm,strong_stochastic_uniform,2,3.0,1.8,stochastic,uniform,-0.00032103469129651785,-0.00020392420992720872,0.00011711048136930913,1.3081872463226318,0.99951171875,0.3896484375,13.500381788995583
strong_op_confirm,strong_stochastic_uniform,3,3.0,1.8,stochastic,uniform,-0.0003228065907023847,-0.00021940864098723978,0.00010339794971514493,1.368005633354187,0.9996337890625,0.392333984375,14.07092805497814
strong_op_confirm,strong_stochastic_uniform,4,3.0,1.8,stochastic,uniform,-0.0003064005577471107,-0.0001952782622538507,0.00011112229549326003,1.2822211980819702,0.9976806640625,0.3958740234375,14.17816796497209
strong_op_confirm,strong_stochastic_uniform,5,3.0,1.8,stochastic,uniform,-0.00031794499955140054,-0.00021165815996937454,0.000106286839582026,1.316986083984375,0.999755859375,0.39453125,13.356307874957565
strong_op_confirm,strong_stochastic_uniform,6,3.0,1.8,stochastic,uniform,-0.000305813824525103,-0.00019419495947659016,0.00011161886504851282,1.290553331375122,0.99755859375,0.3927001953125,13.416720793000422
strong_op_confirm,strong_stochastic_uniform,7,3.0,1.8,stochastic,uniform,-0.0002951928472612053,-0.00018067529890686274,0.00011451754835434258,1.221476674079895,0.9862060546875,0.3687744140625,13.973346489015967
strong_op_confirm,strong_stochastic_uniform,8,3.0,1.8,stochastic,uniform,-0.0003051480161957443,-0.00019776131375692785,0.00010738670243881643,1.275507926940918,0.9991455078125,0.391357421875,12.736271775036585
strong_op_confirm,strong_stochastic_uniform,9,3.0,1.8,stochastic,uniform,-0.0002903715940192342,-0.00019120184879284352,9.916974522639066e-05,1.2403912544250488,0.9951171875,0.389892578125,13.648424223996699
strong_op_confirm,strong_stochastic_uniform,10,3.0,1.8,stochastic,uniform,-0.00031619975925423205,-0.00019436432921793312,0.00012183543003629893,1.2740488052368164,0.9962158203125,0.3818359375,13.501989380980376
strong_op_confirm,strong_stochastic_uniform,11,3.0,1.8,stochastic,uniform,-0.00029603420989587903,-0.00019919911574106663,9.68350941548124e-05,1.291516661643982,0.998779296875,0.3973388671875,13.490313358954154
strong_op_confirm,strong_stochastic_uniform,12,3.0,1.8,stochastic,uniform,-0.0002997889241669327,-0.0001908124831970781,0.0001089764409698546,1.282113790512085,0.9964599609375,0.3848876953125,12.991051054035779
strong_op_confirm,strong_stochastic_uniform,13,3.0,1.8,stochastic,uniform,-0.0002978654229082167,-0.00018373964121565223,0.00011412578169256449,1.2500760555267334,0.9957275390625,0.3994140625,12.805400471028406
strong_op_confirm,strong_stochastic_uniform,14,3.0,1.8,stochastic,uniform,-0.000295197096420452,-0.00019835571583826095,9.684138058219105e-05,1.337876796722412,1.0,0.3995361328125,12.997034416010138
strong_op_confirm,strong_stochastic_uniform,15,3.0,1.8,stochastic,uniform,-0.0003161644854117185,-0.00019669291214086115,0.00011947157327085733,1.3046929836273193,0.9986572265625,0.3831787109375,12.75835516297957
strong_op_confirm,strong_stochastic_uniform,16,3.0,1.8,stochastic,uniform,-0.0003066509962081909,-0.00018297084898222238,0.00012368014722596854,1.2729076147079468,0.9951171875,0.3936767578125,13.315824376011733
strong_op_confirm,strong_stochastic_uniform,17,3.0,1.8,stochastic,uniform,-0.00027259840862825513,-0.00018246153194922954,9.013687667902559e-05,1.2230029106140137,0.98876953125,0.3636474609375,13.208204641006887
strong_op_confirm,strong_stochastic_uniform,18,3.0,1.8,stochastic,uniform,-0.0002759233466349542,-0.00018943205941468477,8.649128722026944e-05,1.254434585571289,0.992431640625,0.37451171875,13.392471484025009
strong_op_confirm,strong_stochastic_uniform,19,3.0,1.8,stochastic,uniform,-0.0002937940589617938,-0.00018211425049230456,0.00011167980846948922,1.2604410648345947,0.991455078125,0.3759765625,12.893185044988059
strong_op_confirm,strong_stochastic_hebbian,0,3.0,1.8,stochastic,hebbian,-0.00029757060110569,-0.00019229549798183143,0.00010527510312385857,1.2682135105133057,0.9942626953125,0.398681640625,17.252868695999496
strong_op_confirm,strong_stochastic_hebbian,1,3.0,1.8,stochastic,hebbian,-0.00029898606589995325,-0.00019902228086721152,9.996378503274173e-05,1.3001927137374878,0.9993896484375,0.39453125,17.906908774981275
strong_op_confirm,strong_stochastic_hebbian,2,3.0,1.8,stochastic,hebbian,-0.00032103469129651785,-0.000202514449483715,0.00011852024181280285,1.3177711963653564,0.999755859375,0.3956298828125,17.187509905954357
strong_op_confirm,strong_stochastic_hebbian,3,3.0,1.8,stochastic,hebbian,-0.0003228065907023847,-0.0002211181417806074,0.00010168844892177731,1.3683990240097046,0.9998779296875,0.3948974609375,16.57919989398215
strong_op_confirm,strong_stochastic_hebbian,4,3.0,1.8,stochastic,hebbian,-0.0003064005577471107,-0.00019443001656327397,0.00011197054118383676,1.2818396091461182,0.9964599609375,0.399658203125,17.759278882993385
strong_op_confirm,strong_stochastic_hebbian,5,3.0,1.8,stochastic,hebbian,-0.00031794499955140054,-0.00021013227524235845,0.0001078127243090421,1.322893738746643,0.9998779296875,0.3984375,17.545890905021224
strong_op_confirm,strong_stochastic_hebbian,6,3.0,1.8,stochastic,hebbian,-0.000305813824525103,-0.0001913899031933397,0.00011442392133176327,1.2801791429519653,0.9947509765625,0.392333984375,19.126156712009106
strong_op_confirm,strong_stochastic_hebbian,7,3.0,1.8,stochastic,hebbian,-0.0002951928472612053,-0.0001790928072296083,0.00011610004003159702,1.2245805263519287,0.988037109375,0.37548828125,16.804832639056258
strong_op_confirm,strong_stochastic_hebbian,8,3.0,1.8,stochastic,hebbian,-0.0003051480161957443,-0.00019484195217955858,0.0001103060640161857,1.2789881229400635,0.99853515625,0.396240234375,17.028490947035607
strong_op_confirm,strong_stochastic_hebbian,9,3.0,1.8,stochastic,hebbian,-0.0002903715940192342,-0.00019065251399297267,9.971908002626151e-05,1.2739322185516357,0.99658203125,0.4013671875,16.79292869596975
strong_op_confirm,strong_stochastic_hebbian,10,3.0,1.8,stochastic,hebbian,-0.00031619975925423205,-0.00019793240062426776,0.00011826735862996429,1.2707922458648682,0.9967041015625,0.3858642578125,17.371711688989308
strong_op_confirm,strong_stochastic_hebbian,11,3.0,1.8,stochastic,hebbian,-0.00029603420989587903,-0.000198693189304322,9.734102059155703e-05,1.2934414148330688,0.9993896484375,0.3956298828125,17.950033404980786
strong_op_confirm,strong_stochastic_hebbian,12,3.0,1.8,stochastic,hebbian,-0.0002997889241669327,-0.00019588939903769642,0.00010389952512923628,1.2845289707183838,0.996337890625,0.3900146484375,17.929092883015983
strong_op_confirm,strong_stochastic_hebbian,13,3.0,1.8,stochastic,hebbian,-0.0002978654229082167,-0.0001858412433648482,0.00011202417954336852,1.2480419874191284,0.9947509765625,0.400634765625,17.611615131027065
strong_op_confirm,strong_stochastic_hebbian,14,3.0,1.8,stochastic,hebbian,-0.000295197096420452,-0.00019714407972060144,9.805301669985056e-05,1.3348400592803955,0.999755859375,0.401611328125,16.77197988203261
strong_op_confirm,strong_stochastic_hebbian,15,3.0,1.8,stochastic,hebbian,-0.0003161644854117185,-0.00019498930487316102,0.00012117518053855747,1.3051986694335938,0.9990234375,0.38525390625,16.451783074997365
strong_op_confirm,strong_stochastic_hebbian,16,3.0,1.8,stochastic,hebbian,-0.0003066509962081909,-0.00018235349853057414,0.00012429749767761678,1.2706551551818848,0.994384765625,0.3939208984375,16.830790417967364
strong_op_confirm,strong_stochastic_hebbian,17,3.0,1.8,stochastic,hebbian,-0.00027259840862825513,-0.00017746140656527132,9.513700206298381e-05,1.2238823175430298,0.988037109375,0.3712158203125,15.38607187999878
strong_op_confirm,strong_stochastic_hebbian,18,3.0,1.8,stochastic,hebbian,-0.0002759233466349542,-0.00018931247177533805,8.661087485961616e-05,1.2613368034362793,0.9932861328125,0.3851318359375,7.44558382203104
strong_op_confirm,strong_stochastic_hebbian,19,3.0,1.8,stochastic,hebbian,-0.0002937940589617938,-0.00018126926443073899,0.0001125247945310548,1.2604327201843262,0.9906005859375,0.3857421875,7.789397024025675
