[2026-05-05T00:26:00+00:00] block 12 fGn N=100 sweep: H=[0.3, 0.5, 0.7, 0.9], N=100 seeds, 2 conditions per (seed, H)
[2026-05-05T00:26:00+00:00] device: gpu / cuda:0
[2026-05-05T00:26:00+00:00] already complete: 0 / 800
[2026-05-05T00:26:43+00:00]   done seed=2220 H=0.3 closed_loop track=-4.203e-06 pred=-6.980e-06 lag1=-0.328 wall=0.4s
[2026-05-05T00:26:44+00:00]   done seed=2257 H=0.3 open_loop track=-7.885e-05 pred=-8.329e-05 lag1=-0.209 wall=0.3s
[2026-05-05T00:26:44+00:00]   done seed=2257 H=0.3 closed_loop track=-2.263e-06 pred=-9.859e-06 lag1=-0.209 wall=0.4s
[2026-05-05T00:26:44+00:00]   done seed=2294 H=0.3 open_loop track=-7.887e-05 pred=-8.420e-05 lag1=-0.402 wall=0.3s
[2026-05-05T00:26:45+00:00]   done seed=2294 H=0.3 closed_loop track=-4.190e-06 pred=-1.147e-05 lag1=-0.402 wall=0.4s
[2026-05-05T00:26:45+00:00]   done seed=2331 H=0.3 open_loop track=-8.165e-05 pred=-8.631e-05 lag1=-0.261 wall=0.3s
[2026-05-05T00:26:45+00:00]   done seed=2331 H=0.3 closed_loop track=-3.128e-06 pred=-7.881e-06 lag1=-0.261 wall=0.4s
[2026-05-05T00:26:46+00:00]   done seed=2368 H=0.3 open_loop track=-9.376e-05 pred=-8.450e-05 lag1=-0.537 wall=0.3s
[2026-05-05T00:26:46+00:00]   done seed=2368 H=0.3 closed_loop track=-1.471e-05 pred=-1.701e-06 lag1=-0.537 wall=0.4s
[2026-05-05T00:26:46+00:00]   done seed=2405 H=0.3 open_loop track=-8.154e-05 pred=-8.640e-05 lag1=-0.314 wall=0.3s
[2026-05-05T00:26:47+00:00]   done seed=2405 H=0.3 closed_loop track=-3.612e-06 pred=-1.238e-05 lag1=-0.314 wall=0.4s
[2026-05-05T00:26:47+00:00]   done seed=2442 H=0.3 open_loop track=-7.931e-05 pred=-8.315e-05 lag1=-0.368 wall=0.3s
[2026-05-05T00:26:47+00:00]   done seed=2442 H=0.3 closed_loop track=-7.406e-06 pred=-6.889e-06 lag1=-0.368 wall=0.4s
[2026-05-05T00:26:47+00:00]   done seed=2479 H=0.3 open_loop track=-8.619e-05 pred=-8.979e-05 lag1=-0.134 wall=0.3s
[2026-05-05T00:26:48+00:00]   done seed=2479 H=0.3 closed_loop track=-7.787e-06 pred=-5.758e-06 lag1=-0.134 wall=0.4s
[2026-05-05T00:26:48+00:00]   done seed=2516 H=0.3 open_loop track=-7.586e-05 pred=-7.994e-05 lag1=-0.088 wall=0.3s
[2026-05-05T00:26:48+00:00]   done seed=2516 H=0.3 closed_loop track=-5.511e-06 pred=-8.087e-06 lag1=-0.088 wall=0.4s
[2026-05-05T00:26:49+00:00]   done seed=2553 H=0.3 open_loop track=-7.748e-05 pred=-8.232e-05 lag1=-0.430 wall=0.3s
