block,config,seed,n_train_steps,fit_before,fit_after,delta,v_mean,cross_e_frac_end,wall_sec
stdp_regression_bisect,stdp_only_n100000,16,100000,-0.00026537387748248875,-0.0001754477125359699,8.992616494651884e-05,0.29329776763916016,0.40087890625,9.050286251003854
stdp_regression_bisect,stdp_only_n100000,17,100000,-0.00024910378851927817,-0.00017268456576857716,7.641922275070101e-05,0.34403249621391296,0.4024658203125,8.738041169010103
stdp_regression_bisect,stdp_only_n100000,18,100000,-0.00025129641289822757,-0.0001686401228653267,8.265629003290087e-05,0.3315746486186981,0.400634765625,8.834226953971665
stdp_regression_bisect,stdp_only_n100000,19,100000,-0.0002593408862594515,-0.0001674814848229289,9.18594014365226e-05,0.357646644115448,0.4013671875,8.961213001981378
stdp_regression_bisect,stdp_only_n125000,0,125000,-0.0002585904148872942,-0.0001768595539033413,8.173086098395288e-05,0.26123762130737305,0.4088134765625,11.591490541002713
stdp_regression_bisect,stdp_only_n125000,1,125000,-0.0002678088203538209,-0.00017891997413244098,8.888884622137994e-05,0.3143466114997864,0.401123046875,10.232555227994453
stdp_regression_bisect,stdp_only_n125000,2,125000,-0.0002715807349886745,-0.0001747751812217757,9.680555376689881e-05,0.2724197208881378,0.3956298828125,10.711123902990948
stdp_regression_bisect,stdp_only_n125000,3,125000,-0.0002791685692500323,-0.00017765637312550098,0.00010151219612453133,0.2958705425262451,0.396728515625,10.533605153032113
stdp_regression_bisect,stdp_only_n125000,4,125000,-0.00026649280334822834,-0.0001803640043362975,8.612879901193082e-05,0.2819822430610657,0.4075927734375,9.624239995027892
stdp_regression_bisect,stdp_only_n125000,5,125000,-0.00027622285415418446,-0.00017938573728315532,9.683711687102914e-05,0.307127982378006,0.40185546875,9.703652736032382
stdp_regression_bisect,stdp_only_n125000,6,125000,-0.0002665017091203481,-0.00017522709094919264,9.127461817115545e-05,0.30873849987983704,0.399169921875,9.472197146969847
stdp_regression_bisect,stdp_only_n125000,7,125000,-0.00025941283092834055,-0.00017272488912567496,8.668794180266559e-05,0.3004518747329712,0.3970947265625,9.950485405046493
stdp_regression_bisect,stdp_only_n125000,8,125000,-0.00026223217719234526,-0.00017618411220610142,8.604806498624384e-05,0.24960041046142578,0.404541015625,9.650865987001453
stdp_regression_bisect,stdp_only_n125000,9,125000,-0.00026219317805953324,-0.00017890888557303697,8.328429248649627e-05,0.29939407110214233,0.4058837890625,13.135945009998977
stdp_regression_bisect,stdp_only_n125000,10,125000,-0.0002691989648155868,-0.00017789320554584265,9.130575926974416e-05,0.2376665323972702,0.3985595703125,12.71052281401353
stdp_regression_bisect,stdp_only_n125000,11,125000,-0.00026426458498463035,-0.00018075527623295784,8.35093087516725e-05,0.2767733633518219,0.4010009765625,10.050635738007259
stdp_regression_bisect,stdp_only_n125000,12,125000,-0.0002644306805450469,-0.00017672406102064997,8.770661952439696e-05,0.31099018454551697,0.39794921875,9.77454877999844
