seed,t_steps,condition,fitness,wall_sec
5476,10000,open_loop,-1.565307e-04,0.38
5476,10000,gain=200,-3.668605e-05,0.46
5513,10000,open_loop,-1.571249e-04,0.39
5513,10000,gain=200,-3.668605e-05,0.45
5550,10000,open_loop,-1.565105e-04,0.38
5550,10000,gain=200,-3.668605e-05,0.44
5587,10000,open_loop,-1.584745e-04,0.38
5587,10000,gain=200,-3.668605e-05,0.45
5624,10000,open_loop,-1.565014e-04,0.41
5624,10000,gain=200,-3.668605e-05,0.46
5661,10000,open_loop,-1.562233e-04,0.38
5661,10000,gain=200,-3.668605e-05,0.44
5698,10000,open_loop,-1.571550e-04,0.39
5698,10000,gain=200,-3.668605e-05,0.45
5735,10000,open_loop,-1.562369e-04,0.38
5735,10000,gain=200,-3.668605e-05,0.45
5772,10000,open_loop,-1.573238e-04,0.38
5772,10000,gain=200,-3.668605e-05,0.44
5809,10000,open_loop,-1.567981e-04,0.38
5809,10000,gain=200,-3.668605e-05,0.45
5846,10000,open_loop,-1.561807e-04,0.39
5846,10000,gain=200,-3.668605e-05,0.45
5883,10000,open_loop,-1.554394e-04,0.38
5883,10000,gain=200,-3.668605e-05,0.45
5920,10000,open_loop,-1.561268e-04,0.38
5920,10000,gain=200,-3.668605e-05,0.45
5957,10000,open_loop,-1.559514e-04,0.38
5957,10000,gain=200,-3.668605e-05,0.44
5994,10000,open_loop,-1.566814e-04,0.38
5994,10000,gain=200,-3.668605e-05,0.45
6031,10000,open_loop,-1.574742e-04,0.38
6031,10000,gain=200,-3.668605e-05,0.45
6068,10000,open_loop,-1.570612e-04,0.39
6068,10000,gain=200,-3.668605e-05,0.45
6105,10000,open_loop,-1.567376e-04,0.39
6105,10000,gain=200,-3.668605e-05,0.45
6142,10000,open_loop,-1.554632e-04,0.38
6142,10000,gain=200,-3.668605e-05,0.59
6179,10000,open_loop,-1.563043e-04,0.38
6179,10000,gain=200,-3.668605e-05,0.45
6216,10000,open_loop,-1.580385e-04,0.39
6216,10000,gain=200,-3.668605e-05,0.45
6253,10000,open_loop,-1.569689e-04,0.39
6253,10000,gain=200,-3.668605e-05,0.45
6290,10000,open_loop,-1.576674e-04,0.39
6290,10000,gain=200,-3.668605e-05,0.45
6327,10000,open_loop,-1.574318e-04,0.39
6327,10000,gain=200,-3.668605e-05,0.45
6364,10000,open_loop,-1.559881e-04,0.38
6364,10000,gain=200,-3.668605e-05,0.45
6401,10000,open_loop,-1.576133e-04,0.39
6401,10000,gain=200,-3.668605e-05,0.45
6438,10000,open_loop,-1.572596e-04,0.39
6438,10000,gain=200,-3.668605e-05,0.45
6475,10000,open_loop,-1.567840e-04,0.38
6475,10000,gain=200,-3.668605e-05,0.45
6512,10000,open_loop,-1.559393e-04,0.39
6512,10000,gain=200,-3.668605e-05,0.45
6549,10000,open_loop,-1.570687e-04,0.39
6549,10000,gain=200,-3.668605e-05,0.45
6586,10000,open_loop,-1.562797e-04,0.39
6586,10000,gain=200,-3.668605e-05,0.45
6623,10000,open_loop,-1.554538e-04,0.38
6623,10000,gain=200,-3.668605e-05,0.46
6660,10000,open_loop,-1.569909e-04,0.39
6660,10000,gain=200,-3.668605e-05,0.45
6697,10000,open_loop,-1.576380e-04,0.39
6697,10000,gain=200,-3.668605e-05,0.45
6734,10000,open_loop,-1.575236e-04,0.39
6734,10000,gain=200,-3.668605e-05,0.45
6771,10000,open_loop,-1.563539e-04,0.39
6771,10000,gain=200,-3.668605e-05,0.45
6808,10000,open_loop,-1.575100e-04,0.39
6808,10000,gain=200,-3.668605e-05,0.45
6845,10000,open_loop,-1.579727e-04,0.38
6845,10000,gain=200,-3.668605e-05,0.45
6882,10000,open_loop,-1.564243e-04,0.39
6882,10000,gain=200,-3.668605e-05,0.45
6919,10000,open_loop,-1.554863e-04,0.38
6919,10000,gain=200,-3.668605e-05,0.45
6956,10000,open_loop,-1.566131e-04,0.39
6956,10000,gain=200,-3.668605e-05,0.45
6993,10000,open_loop,-1.566432e-04,0.39
6993,10000,gain=200,-3.668605e-05,0.45
7030,10000,open_loop,-1.567958e-04,0.39
7030,10000,gain=200,-3.668605e-05,0.45
7067,10000,open_loop,-1.565857e-04,0.39
7067,10000,gain=200,-3.668605e-05,0.45
7104,10000,open_loop,-1.579537e-04,0.39
7104,10000,gain=200,-3.668605e-05,0.45
7141,10000,open_loop,-1.559728e-04,0.39
7141,10000,gain=200,-3.668605e-05,0.45
7178,10000,open_loop,-1.580685e-04,0.38
7178,10000,gain=200,-3.668605e-05,0.45
7215,10000,open_loop,-1.554274e-04,0.39
7215,10000,gain=200,-3.668605e-05,0.45
7252,10000,open_loop,-1.572672e-04,0.39
7252,10000,gain=200,-3.668605e-05,0.45
7289,10000,open_loop,-1.561925e-04,0.39
7289,10000,gain=200,-3.668605e-05,0.45
7326,10000,open_loop,-1.567033e-04,0.39
7326,10000,gain=200,-3.668605e-05,0.45
7363,10000,open_loop,-1.563271e-04,0.38
7363,10000,gain=200,-3.668605e-05,0.45
7400,10000,open_loop,-1.574486e-04,0.39
7400,10000,gain=200,-3.668605e-05,0.45
7437,10000,open_loop,-1.571140e-04,0.39
7437,10000,gain=200,-3.668605e-05,0.45
7474,10000,open_loop,-1.561793e-04,0.39
7474,10000,gain=200,-3.668605e-05,0.45
7511,10000,open_loop,-1.562917e-04,0.39
7511,10000,gain=200,-3.668605e-05,0.45
7548,10000,open_loop,-1.565765e-04,0.39
7548,10000,gain=200,-3.668605e-05,0.45
7585,10000,open_loop,-1.557357e-04,0.38
7585,10000,gain=200,-3.668605e-05,0.44
7622,10000,open_loop,-1.564530e-04,0.39
7622,10000,gain=200,-3.668605e-05,0.45
7659,10000,open_loop,-1.555497e-04,0.56
7659,10000,gain=200,-3.668605e-05,0.45
7696,10000,open_loop,-1.565963e-04,0.38
7696,10000,gain=200,-3.668605e-05,0.44
7733,10000,open_loop,-1.561053e-04,0.39
7733,10000,gain=200,-3.668605e-05,0.45
7770,10000,open_loop,-1.572339e-04,0.39
7770,10000,gain=200,-3.668605e-05,0.45
7807,10000,open_loop,-1.562193e-04,0.39
7807,10000,gain=200,-3.668605e-05,0.45
7844,10000,open_loop,-1.564858e-04,0.39
7844,10000,gain=200,-3.668605e-05,0.45
