block,config,seed,plasticity_rate,init_v_mean,fit_before,fit_after,delta,v_mean,cross_e_frac_end,valence_mean,wall_sec
step16_multiseed,step16_rate0.1_ivm1.8,2,0.1,1.8,-0.00032103469129651785,-0.00031410265364684165,6.932037649676204e-06,1.738432765007019,0.3956298828125,0.19266986846923828,1.5043712069746107
step16_multiseed,step16_rate0.1_ivm1.8,3,0.1,1.8,-0.0003228065907023847,-0.000325547531247139,-2.7409405447542667e-06,1.7452031373977661,0.396728515625,0.17977386713027954,1.4685991440201178
step16_multiseed,step16_rate0.1_ivm1.8,4,0.1,1.8,-0.0003064005577471107,-0.0003045013581868261,1.8991995602846146e-06,1.7426512241363525,0.4075927734375,0.1938156634569168,1.4579595570103265
step16_multiseed,step16_rate0.3_ivm0.2,0,0.3,0.2,-0.00020128852338530123,-0.00019726791651919484,4.020606866106391e-06,0.20661675930023193,0.4088134765625,0.30362534523010254,1.4670030430424958
step16_multiseed,step16_rate0.3_ivm0.2,1,0.3,0.2,-0.00020177439728286117,-0.00019518447516020387,6.589922122657299e-06,0.20737281441688538,0.401123046875,0.30832409858703613,1.4660169220296666
step16_multiseed,step16_rate0.3_ivm0.2,2,0.3,0.2,-0.0001999306696234271,-0.0001944621471920982,5.468522431328893e-06,0.2055133432149887,0.3956298828125,0.30792272090911865,1.4690068410127424
step16_multiseed,step16_rate0.3_ivm0.2,3,0.3,0.2,-0.0002038575621554628,-0.00019692274508997798,6.934817065484822e-06,0.20895668864250183,0.396728515625,0.3043518662452698,1.4660918089793995
step16_multiseed,step16_rate0.3_ivm0.2,4,0.3,0.2,-0.00020037814101669937,-0.0001955449697561562,4.833171260543168e-06,0.2073645293712616,0.4075927734375,0.3047727048397064,1.4688807729980908
step16_multiseed,step16_rate0.3_ivm1.0,0,0.3,1.0,-0.0002585904148872942,-0.00024775645579211414,1.0833959095180035e-05,0.95194411277771,0.4088134765625,0.24389633536338806,1.4687874719966203
step16_multiseed,step16_rate0.3_ivm1.0,1,0.3,1.0,-0.0002678088203538209,-0.0002572007360868156,1.0608084267005324e-05,0.9593690633773804,0.401123046875,0.23366186022758484,1.4672858149860986
step16_multiseed,step16_rate0.3_ivm1.0,2,0.3,1.0,-0.0002715807349886745,-0.000256598083069548,1.498265191912651e-05,0.9540027379989624,0.3956298828125,0.23301474750041962,1.4830201199511066
step16_multiseed,step16_rate0.3_ivm1.0,3,0.3,1.0,-0.0002791685692500323,-0.00026632373919710517,1.2844830052927136e-05,0.9615038633346558,0.396728515625,0.2224579006433487,1.4680350070120767
step16_multiseed,step16_rate0.3_ivm1.0,4,0.3,1.0,-0.00026649280334822834,-0.00025093829026445746,1.555451308377087e-05,0.9549318552017212,0.4075927734375,0.23630155622959137,1.4666646589757875
step16_multiseed,step16_rate0.3_ivm1.8,0,0.3,1.8,-0.00029757060110569,-0.0002876544022001326,9.916198905557394e-06,1.7124701738357544,0.4088134765625,0.2081613540649414,1.473698472022079
step16_multiseed,step16_rate0.3_ivm1.8,1,0.3,1.8,-0.00029898606589995325,-0.00028812489472329617,1.086117117665708e-05,1.7192482948303223,0.401123046875,0.19907335937023163,1.4641074520186521
step16_multiseed,step16_rate0.3_ivm1.8,2,0.3,1.8,-0.00032103469129651785,-0.00030444483854807913,1.6589852748438716e-05,1.7118711471557617,0.3956298828125,0.19163644313812256,1.4702518139965832
step16_multiseed,step16_rate0.3_ivm1.8,3,0.3,1.8,-0.0003228065907023847,-0.00031712374766357243,5.68284303881228e-06,1.7223650217056274,0.396728515625,0.18170838057994843,1.4761473680264316
step16_multiseed,step16_rate0.3_ivm1.8,4,0.3,1.8,-0.0003064005577471107,-0.0002941899874713272,1.2210570275783539e-05,1.718515157699585,0.4075927734375,0.19829513132572174,1.466909228998702
step16_multiseed,step16_rate1.0_ivm0.2,0,1.0,0.2,-0.00020128852338530123,-0.00018958887085318565,1.1699652532115579e-05,0.16402852535247803,0.4088134765625,0.3136526644229889,1.4722554609761573
step16_multiseed,step16_rate1.0_ivm0.2,1,1.0,0.2,-0.00020177439728286117,-0.00018970869132317603,1.2065705959685147e-05,0.17453110218048096,0.401123046875,0.31703370809555054,1.4681772759649903
